#options: 1920x1080 fps=2997/50 timebase=50/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5593 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:100 out:101 type:b dur:2 cpbdur:2 q:22.18 aq:11.95 tex:19557 mv:18605 misc:6942 imb:466 pmb:2284 smb:5410 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:22.05 aq:10.26 tex:65690 mv:18991 misc:6359 imb:1165 pmb:1607 smb:5388 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:22.05 aq:10.56 tex:66568 mv:19480 misc:6464 imb:1274 pmb:1602 smb:5284 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:22.07 aq:10.04 tex:59595 mv:21275 misc:6642 imb:1531 pmb:1477 smb:5152 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:22.06 aq:10.19 tex:62146 mv:19292 misc:6522 imb:1405 pmb:1441 smb:5314 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:22.06 aq:10.47 tex:63447 mv:19800 misc:6769 imb:1705 pmb:1439 smb:5016 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:22.24 aq:9.41 tex:63187 mv:23911 misc:6598 imb:2119 pmb:1517 smb:4524 d:- ref:0 ;
in:109 out:108 type:P dur:2 cpbdur:2 q:22.24 aq:9.86 tex:218562 mv:32407 misc:6447 imb:2938 pmb:2374 smb:2848 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:22.24 aq:12.15 tex:37813 mv:21429 misc:7326 imb:729 pmb:2480 smb:4951 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:22.35 aq:10.07 tex:130476 mv:36781 misc:5775 imb:3351 pmb:2368 smb:2441 d:- ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:22.30 aq:10.82 tex:48110 mv:28847 misc:7291 imb:630 pmb:2904 smb:4626 d:- ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:22.27 aq:11.71 tex:20635 mv:18392 misc:6685 imb:420 pmb:2171 smb:5569 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:22.32 aq:11.80 tex:15893 mv:16771 misc:6904 imb:345 pmb:2234 smb:5581 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:22.23 aq:10.44 tex:66847 mv:22455 misc:6858 imb:1533 pmb:1781 smb:4846 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:22.22 aq:10.73 tex:65467 mv:20078 misc:6695 imb:1300 pmb:1642 smb:5218 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:22.21 aq:10.11 tex:64243 mv:25018 misc:6619 imb:1799 pmb:1688 smb:4673 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:22.20 aq:10.95 tex:60887 mv:17554 misc:6423 imb:1179 pmb:1408 smb:5573 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:22.19 aq:10.65 tex:55704 mv:17407 misc:6529 imb:1215 pmb:1369 smb:5576 d:- ref:0 ;
